No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 1, ['Close_proc'], None, sax, padding, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.4907, 0.0857, 0.4863, 0.0888, NaN, NaN, 0.474, -+++-, 0.581, 3.949, 61.544
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, padding, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5385, 0.0333, 0.5256, 0.0324, NaN, NaN, 0.299, +-+-+, 1.019, 5.991, 98.725
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, padding, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.4921, 0.0363, 0.4816, 0.0329, NaN, NaN, 0.215, +----, 0.29, -2.361, -43.26
 1, ['Close_proc'], None, sax, time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5102, 0.0323, 0.5032, 0.0361, NaN, NaN, 0.482, ++-+-, 0.508, 3.094, 47.775
 1, ['Close_proc'], None, sax, time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.4959, 0.0833, 0.4879, 0.0887, NaN, NaN, 0.48, -+++-, 0.352, 3.648, 58.596
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5286, 0.027, 0.5176, 0.0247, NaN, NaN, 0.289, +-+-+, 0.996, 5.811, 94.555
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.4922, 0.0375, 0.4763, 0.0437, NaN, NaN, 0.224, +----, -0.047, -1.434, -29.801
 1, ['Close_proc'], None, sax, delay_time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5329, 0.0321, 0.5245, 0.0292, NaN, NaN, 0.5, +++++, 0.804, 7.03, 113.882
 1, ['Close_proc'], None, sax, delay_time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5256, 0.0445, 0.523, 0.0452, NaN, NaN, 0.491, +++++, 0.238, 6.045, 97.199
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, delay_time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5063, 0.0468, 0.4995, 0.0488, NaN, NaN, 0.294, +-+-+, 1.121, 2.894, 45.713
